code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002462,嘉事堂,医药商业,北京,10.92,2.49,2.51,1081398.75,963621.13,33305.26,73715.96,2.94,1.0390000000000001,9.7,1.56,20100818,131775.09,5.26,28.78,29.86,9.93,1.98,19152.0
600516,方大炭素,矿物制品,甘肃,5.87,17.19,17.89,1505455.75,1172756.38,157245.66,248405.13,1.39,2.53,6.29,3.15,20020830,662265.81,3.7,75.47,124.1,76.89,49.31,213755.0
603619,中曼石油,石油开采,上海,69.76,0.4,4.0,425713.25,217685.0,123329.67,101353.49,2.53,0.19399999999999998,6.07,2.97,20171117,93882.36,2.35,-22.93,-77.0,28.92,7.55,23072.0
002200,云投生态,环境保护,云南,0.0,1.32,1.84,326466.81,232497.09,6344.58,77252.6,4.2,-1.2670000000000001,1.15,5.01,20071221,-78588.63,-4.27,-41.45,-279.83,-7.07,-81.37,15408.0
002876,三利谱,元器件,深圳,74.46,0.55,0.8,193424.88,136521.63,36892.15,36625.09,4.58,0.284,10.96,2.57,20170525,38408.05,4.8,5.69,-59.31,18.63,3.52,6296.0
603595,东尼电子,元器件,浙江,28.0,0.49,1.43,146009.52,71850.61,51672.01,41855.51,2.93,0.736,5.84,4.7,20170712,32519.64,2.28,70.94,21.03,33.06,14.69,9683.0
603688,石英股份,矿物制品,江苏,24.1,3.37,3.37,147286.48,79424.97,33937.95,47016.3,1.39,0.304,4.06,2.41,20141031,49840.15,1.48,14.16,36.29,43.27,22.52,13619.0
000518,四环生物,生物制药,江苏,1631.36,10.3,10.3,92458.27,76163.75,8279.62,3557.26,0.03,0.001,0.61,5.33,19930908,-47419.69,-0.46,-8.31,-94.61,75.68,0.57,71034.0
000976,华铁股份,运输设备,广东,22.68,5.87,15.96,476436.25,191794.52,17043.32,268103.25,1.68,0.08800000000000001,2.65,1.51,20000601,-12077.28,-0.08,-5.11,3.41,36.1,20.92,31728.0
600196,复星医药,化学制药,上海,23.32,19.1,25.63,6851281.5,1666409.13,667916.5,1168096.88,4.56,0.83,11.13,2.28,19980807,1227777.25,4.79,39.99,-13.44,58.27,11.54,110630.0
300385,雪浪环境,环境保护,江苏,27.33,0.58,1.3,232970.97,152795.31,39171.84,59063.31,4.54,0.379,8.8,1.57,20140626,37981.81,2.92,12.71,10.75,24.78,7.66,9906.0
600397,*ST安煤,煤炭开采,江西,19.87,9.9,9.9,690510.81,279171.22,291413.0,186328.3,1.88,0.08199999999999999,0.89,2.46,20020702,-232366.47,-2.35,25.57,180.96,13.06,2.32,55631.0
600161,天坛生物,生物制药,北京,35.34,8.71,8.71,490216.91,338666.19,87164.99,25941.42,0.3,0.455,3.8,5.65,19980616,193070.91,2.22,27.68,-60.39,48.27,19.28,40929.0
002606,大连电瓷,电气设备,辽宁,0.0,4.03,4.07,135140.2,79436.68,35374.65,12454.3,0.31,-0.017,2.16,1.85,20110805,31294.22,0.77,-21.22,-111.36,22.62,-1.54,48613.0
002517,恺英网络,互联网,福建,13.11,8.74,21.53,651714.5,245949.22,2183.42,73985.15,0.34,0.22899999999999998,2.38,1.68,20101207,285346.88,1.33,-17.18,-53.43,72.28,28.38,60184.0
300450,先导智能,专用机械,江苏,29.05,4.85,8.82,749410.5,577546.5,22673.32,101260.81,1.15,0.62,3.68,6.54,20150518,127466.77,1.45,157.26,96.37,37.06,20.29,29512.0
600845,宝信软件,软件服务,上海,28.2,6.41,8.77,963418.88,732442.25,105051.55,293324.59,3.34,0.63,7.36,3.02,19940311,244684.3,2.79,20.27,60.18,29.38,13.52,43328.0
600829,人民同泰,医药商业,黑龙江,12.55,5.8,5.8,417781.84,367659.69,28711.45,0.0,0.0,0.348,2.63,2.22,19940224,89618.99,1.55,-14.3,-2.94,12.65,3.78,19069.0
000513,丽珠集团,中成药,广东,16.56,4.59,7.19,1562270.13,1076168.75,322012.91,154675.42,2.15,1.307,14.88,1.94,19931028,787054.13,10.95,4.9,-77.86,62.64,13.74,44362.0
300084,海默科技,石油开采,甘肃,0.0,3.03,3.85,296096.03,139679.05,30184.34,122489.86,3.18,-0.063,4.61,1.03,20100520,12679.41,0.33,30.44,-1100.21,35.77,-7.42,28839.0
002244,滨江集团,区域地产,浙江,13.27,27.03,31.11,8428148.0,7760888.0,22283.68,233431.5,0.75,0.22699999999999998,4.73,0.85,20080529,836451.44,2.69,88.38,-35.83,31.95,5.78,47330.0
002410,广联达,软件服务,北京,69.29,8.86,11.19,500094.66,225512.0,82685.5,41134.64,0.37,0.262,2.76,8.76,20100525,125274.36,1.12,26.15,2.1,94.75,16.46,27089.0
002387,维信诺,元器件,广东,0.0,4.69,13.68,4070035.25,1402220.38,246676.27,1446748.13,10.58,-0.13,11.29,0.75,20100413,-41468.81,-0.3,4452.95,-149.65,13.26,-16.35,35022.0
600128,弘业股份,商贸代理,江苏,0.0,2.47,2.47,295108.66,175092.05,31786.81,51735.76,2.1,-0.16399999999999998,5.36,1.03,19970901,41387.46,1.68,16.96,-779.52,6.49,-1.21,24334.0
002860,星帅尔,电气设备,浙江,21.49,0.47,1.17,84962.17,58316.45,10526.15,26541.15,2.27,0.67,5.9,3.17,20170412,30056.11,2.58,22.29,14.79,39.52,24.89,10579.0
000600,建投能源,火力发电,河北,20.89,10.9,17.92,3119720.25,542896.0,1758567.25,440347.16,2.46,0.158,6.04,0.73,19960606,392730.34,2.19,40.82,19.13,15.15,2.77,82026.0
000756,新华制药,化学制药,山东,14.16,3.99,6.22,574232.31,229942.45,221180.59,58494.43,0.94,0.311,4.22,1.39,19970806,100792.65,1.62,14.68,11.32,27.93,4.88,31361.0
000697,炼石有色,航空,陕西,0.0,4.54,5.6,536652.88,113064.1,123226.51,56684.8,1.01,-0.381,2.28,5.8,19970325,10547.92,0.19,158.58,-11.07,20.19,-19.61,32312.0
600962,国投中鲁,软饮料,北京,230.64,2.54,2.62,161924.23,80225.2,54927.8,52631.01,2.01,0.025,3.18,2.43,20040622,412.17,0.02,-7.09,2397.44,22.76,1.11,19866.0
002394,联发股份,纺织,江苏,9.95,3.24,3.24,424487.31,267123.97,132764.75,96341.4,2.98,0.775,9.45,1.09,20100423,159850.5,4.94,8.54,14.34,18.09,7.81,19179.0
002372,伟星新材,其他建材,浙江,19.89,11.72,13.11,424496.31,257040.5,83058.86,41701.28,0.32,0.499,2.53,5.23,20100318,130897.11,1.0,15.2,20.06,47.3,22.04,18533.0
600750,江中药业,中成药,江西,13.76,4.2,4.2,356446.19,212678.8,59949.68,43251.34,1.03,0.8420000000000001,7.46,2.07,19960923,211166.55,5.03,-1.23,10.18,67.98,27.38,32136.0
000762,西藏矿业,小金属,西藏,0.0,4.76,5.21,296801.72,183068.97,35840.44,158310.48,3.04,-0.071,4.07,1.81,19970708,-4066.3,-0.08,43.03,-14.18,13.63,-15.84,82381.0
000596,古井贡酒,白酒,安徽,16.6,3.84,5.04,1249872.0,864257.31,170862.77,129540.56,2.57,2.4930000000000003,14.22,3.88,19960927,510177.5,10.13,26.54,57.46,77.93,18.57,21908.0
000516,国际医学,百货,陕西,3.17,19.33,19.71,656165.25,270299.91,38439.39,24489.05,0.12,1.1320000000000001,2.95,1.62,19930809,342905.31,1.74,-37.44,1121.5,20.91,122.89,87690.0
